LotShape,LotConfig,Neighborhood,HouseStyle,YearRemodAdd,BsmtFinType1,HeatingQC,FullBath,HalfBath,GarageType,GarageFinish,MoSold,YrSold,SalePrice
3,4,5,5,2003,2,0,2,1,1,1,2,2008,208500
3,2,24,2,1976,0,0,2,0,1,1,5,2007,181500
0,4,5,5,2002,2,0,2,1,1,1,9,2008,223500
0,0,6,5,1970,0,2,1,0,5,2,2,2006,140000
0,2,15,5,2000,2,0,2,1,1,1,12,2008,250000
0,4,11,0,1995,2,0,1,1,1,2,10,2009,143000
3,4,21,2,2005,2,0,2,0,1,1,8,2007,307000
0,0,14,5,1973,0,0,2,1,1,1,11,2009,200000
3,4,17,0,1950,5,2,2,0,5,2,4,2008,129900
3,0,3,1,1950,2,0,1,0,1,1,1,2008,118000
3,4,19,2,1965,4,0,1,0,5,2,2,2008,129500
0,4,16,5,2006,2,0,3,0,3,0,7,2006,345000
1,4,19,2,1962,0,4,1,0,5,2,9,2008,144000
0,4,5,2,2007,5,0,2,0,1,1,8,2007,279500
0,0,12,2,1960,1,4,1,1,1,1,5,2008,157000
3,0,3,1,2001,5,0,1,0,5,2,7,2007,132000
0,1,12,2,1970,0,0,1,0,1,0,3,2010,149000
3,4,19,2,1967,5,4,2,0,4,2,10,2006,90000
3,4,20,2,2004,2,0,1,1,5,2,6,2008,159000
3,4,12,2,1965,3,4,1,0,1,2,5,2009,139000
0,0,16,5,2006,5,0,3,1,3,1,11,2006,325300
3,4,9,1,1950,5,0,1,0,1,2,6,2007,139400
3,4,5,2,2002,5,0,2,0,1,1,9,2008,230000
3,4,10,2,1976,2,4,1,0,1,2,6,2007,129900
0,4,19,2,2001,4,0,1,0,1,2,5,2010,154000
3,0,16,2,2007,5,0,2,0,1,1,7,2009,256300
3,0,12,2,2000,1,4,1,0,5,2,5,2010,134800
3,4,16,2,2008,2,0,2,0,1,1,5,2010,306000
0,1,12,2,1997,1,4,1,0,1,1,12,2006,207500
0,4,3,2,1950,5,1,1,0,5,2,5,2008,68500
3,4,9,5,1950,5,4,1,0,5,2,7,2008,40000
0,1,19,2,2006,5,2,1,1,1,2,6,2008,149350
3,0,5,2,2007,5,0,2,0,1,1,1,2008,179900
0,4,12,2,1959,4,2,1,1,1,1,4,2010,165500
3,4,16,2,2005,2,0,2,0,1,0,8,2007,277500
3,4,16,5,2005,5,0,3,1,3,0,9,2006,309000
3,0,5,2,1995,5,0,1,1,1,2,6,2009,145000
3,4,12,2,1990,4,2,1,0,1,0,10,2009,153000
3,4,12,2,2007,2,4,1,0,5,2,1,2010,109000
3,4,7,2,1955,5,4,2,0,1,2,6,2008,82000
3,4,12,2,1965,4,0,2,0,1,1,12,2006,160000
3,4,23,2,1959,1,2,1,1,1,1,7,2007,170000
0,1,20,6,1983,0,2,1,0,1,1,12,2007,144000
0,1,5,2,1980,3,4,1,0,5,2,7,2008,130250
3,4,12,2,1959,0,0,1,0,1,1,5,2006,141000
3,4,16,2,2005,2,0,2,0,1,1,2,2010,319900
0,1,11,0,2003,2,0,1,1,1,1,8,2009,239686
3,4,21,2,2006,2,0,2,0,1,1,7,2007,249700
3,4,17,5,2008,5,2,2,0,1,2,6,2009,113000
3,4,19,2,1966,1,0,1,0,1,2,1,2007,127000
1,0,8,5,1997,2,2,2,0,1,0,7,2007,177000
3,4,3,0,1950,5,4,1,0,5,2,9,2006,114500
1,0,9,2,1963,3,4,1,0,4,2,5,2010,110000
0,4,24,2,1987,2,2,0,1,1,0,11,2006,385000
3,4,12,7,1955,0,4,1,0,5,2,2,2007,130000
0,4,12,2,1964,1,2,2,0,1,1,7,2008,180500
3,4,21,5,2000,2,0,2,1,1,0,8,2009,172500
0,0,5,5,2004,5,0,2,1,1,1,8,2006,196500
1,1,22,5,2006,5,0,3,1,3,0,10,2006,438780
3,4,5,2,1972,0,0,1,0,5,2,1,2008,124900
3,4,20,2,2004,0,0,1,1,5,2,5,2006,158000
3,4,9,4,1996,5,4,1,0,5,2,3,2007,101000
0,4,16,2,2006,2,0,2,0,1,1,10,2007,202500
0,4,17,5,1950,5,2,2,0,5,2,4,2010,140000
3,4,5,5,1998,2,0,2,1,1,1,2,2009,219500
3,4,16,5,2005,5,0,2,1,3,1,10,2007,317000
3,4,12,2,1989,2,4,2,0,1,1,7,2010,180000
0,4,5,2,2003,2,0,2,0,1,1,6,2007,226000
3,0,17,2,1950,5,4,1,0,1,2,6,2010,80000
3,0,4,0,1953,1,4,2,0,1,0,7,2006,225000
0,4,12,2,1973,0,0,2,0,1,0,2,2007,244000
3,0,11,2,2006,0,4,1,0,5,2,6,2007,129500
0,0,8,5,1998,5,2,2,1,1,0,12,2009,185000
3,4,12,2,2003,0,2,1,0,1,2,5,2010,144900
3,0,17,5,1950,5,2,2,0,5,2,5,2010,107400
3,4,10,7,1973,2,4,1,0,3,2,11,2009,91000
0,4,12,2,1956,0,0,1,0,5,2,4,2008,135750
3,4,3,0,2001,1,4,1,0,5,2,1,2008,127000
3,4,19,2,1968,5,4,2,0,1,2,4,2010,136500
3,0,17,5,1981,5,2,1,1,5,2,5,2009,110000
3,0,12,5,1968,4,4,2,1,1,0,6,2009,193500
3,2,11,2,1998,2,0,2,0,1,0,3,2006,153500
3,4,21,2,2007,2,0,2,0,1,1,10,2008,245000
0,4,12,2,1960,5,2,1,1,5,2,7,2007,126500
0,4,8,7,1996,5,2,2,1,3,0,5,2009,168500
3,0,15,5,1992,5,0,2,1,1,2,4,2006,260000
1,4,8,5,2005,5,0,2,1,3,0,3,2009,174000
3,0,21,5,2009,5,0,2,1,5,1,6,2009,164500
0,0,9,0,1982,5,4,1,0,1,2,10,2009,85000
3,4,5,2,1995,2,0,1,0,1,2,8,2007,123600
3,4,12,2,1950,5,4,1,0,5,2,7,2006,109900
3,4,12,2,1961,4,4,1,0,1,2,12,2006,98600
0,4,6,2,2006,0,0,1,0,5,2,8,2009,163500
3,0,17,4,1998,4,0,2,0,5,2,11,2007,133900
0,4,5,5,1997,2,0,2,1,1,1,5,2007,204750
1,0,8,5,1993,0,2,2,1,3,0,4,2009,185000
0,4,5,2,1999,0,0,2,0,1,1,8,2006,214000
3,4,7,2,1965,4,4,1,0,1,0,5,2007,94750
3,0,7,2,1950,0,1,1,0,2,2,5,2010,83000
0,4,12,2,1959,0,1,1,1,1,2,1,2010,128950
0,4,14,2,2001,0,2,2,0,1,1,2,2010,205000
3,4,20,5,1985,5,4,2,1,1,0,6,2010,178000
3,4,20,2,1979,5,4,2,0,1,2,6,2009,118964
0,0,5,2,2009,5,0,2,0,1,1,5,2010,198900
3,0,9,0,1950,3,0,1,1,5,2,6,2007,169500
3,4,21,5,2004,5,0,2,1,1,1,8,2008,250000
3,4,17,2,1995,5,2,1,0,5,2,8,2007,100000
3,4,17,2,1950,0,0,1,0,5,2,4,2008,115000
3,0,9,0,2005,5,4,2,0,1,2,8,2007,115000
0,4,14,2,1977,1,0,2,0,1,1,1,2010,190000
3,4,7,0,1972,4,2,2,0,1,2,10,2006,136900
0,4,8,7,2000,2,0,2,1,3,0,4,2010,180000
3,4,5,5,2007,2,0,2,1,3,0,10,2007,383970
3,0,6,2,1953,0,4,2,0,2,2,10,2007,217000
0,4,6,5,2002,0,0,2,1,5,2,7,2007,259500
3,0,21,5,1999,2,2,2,1,5,2,6,2007,176000
3,4,19,2,1962,3,4,1,0,1,2,9,2009,139000
3,0,7,2,2007,5,2,1,1,1,2,4,2007,155000
3,0,20,5,1990,2,2,3,0,1,2,5,2010,320000
3,4,5,5,2006,5,0,2,1,1,0,7,2006,163990
0,1,4,7,1969,0,0,1,0,1,2,10,2006,180000
3,4,9,0,1950,5,2,1,0,5,2,6,2007,100000
3,0,12,2,1958,1,2,1,0,1,2,6,2008,136000
3,4,20,2,1993,2,0,2,0,1,1,3,2008,153900
0,1,14,2,1998,5,4,2,0,1,2,1,2009,181000
3,4,9,0,1982,2,2,1,0,1,2,6,2006,84500
0,4,13,2,1976,0,4,2,0,1,1,2,2007,128000
0,4,17,1,1950,3,0,1,0,1,2,6,2007,87000
3,4,12,5,1966,1,4,1,1,1,1,7,2006,155000
3,4,12,2,1991,4,4,1,1,0,1,7,2006,150000
3,0,12,5,1966,4,0,2,1,1,0,5,2006,226000
0,0,8,5,2000,2,0,2,1,3,1,7,2009,244000
3,0,12,2,2002,4,2,1,0,5,2,7,2007,150750
0,4,23,2,2002,2,0,2,0,1,0,6,2009,220000
0,4,19,2,1993,4,2,2,1,1,1,7,2006,180000
3,4,14,2,1970,5,2,2,0,1,2,5,2008,174000
0,0,12,2,1967,1,4,2,0,1,1,7,2007,143000
3,4,11,2,1989,5,2,3,0,0,2,7,2006,171000
0,4,5,5,2000,2,0,2,1,1,0,12,2008,230000
0,4,5,5,1997,2,0,2,1,1,1,8,2009,231500
3,2,12,2,1971,0,4,1,0,1,2,4,2010,115000
3,4,5,2,2005,2,0,2,0,1,0,1,2006,260000
3,0,12,0,1952,4,1,2,0,5,2,6,2010,166000
0,4,5,2,1999,2,0,2,0,1,1,6,2009,204000
3,4,19,2,1963,4,4,2,0,5,2,11,2006,125000
3,4,7,5,2006,5,0,2,0,5,2,4,2006,130000
3,0,3,2,1993,1,4,1,0,5,2,11,2009,105000
0,1,8,5,2001,5,0,2,1,3,0,5,2010,222500
3,4,20,2,2005,2,0,1,0,1,2,4,2008,141000
3,4,3,0,1950,5,2,1,0,5,2,4,2006,115000
3,0,5,2,1975,1,4,1,1,1,2,1,2007,122000
3,4,16,2,2008,2,0,2,0,1,1,1,2008,372402
0,1,14,5,1971,4,2,2,1,1,1,6,2006,190000
3,4,4,2,1975,1,2,1,0,1,1,3,2008,235000
3,0,17,2,1950,5,4,1,0,5,2,3,2006,125000
3,0,7,0,1950,5,1,1,0,1,2,4,2008,79000
3,4,12,2,1950,5,4,1,0,5,2,6,2006,109500
3,0,23,5,2010,5,0,2,1,3,0,5,2010,269500
3,0,21,5,2005,2,0,2,1,1,1,5,2010,254900
0,0,8,5,2006,2,0,2,1,1,1,3,2006,320000
0,1,24,2,1984,1,4,2,0,1,2,6,2008,162500
0,4,16,5,2004,2,0,2,1,3,0,3,2008,412500
3,0,16,2,2005,1,0,2,0,1,1,5,2010,220000
3,4,17,1,1956,5,0,1,0,1,2,4,2007,103200
3,0,17,2,2004,3,2,2,0,5,2,10,2007,152000
3,4,7,0,1999,0,2,2,0,1,2,9,2008,127500
0,4,4,2,1993,3,0,1,0,1,0,11,2009,190000
3,4,16,5,2007,2,0,1,1,1,0,11,2007,325624
0,4,8,5,2004,5,0,2,1,1,0,5,2007,183500
0,0,23,2,1981,5,4,2,1,1,1,1,2006,228000
0,4,17,0,1950,4,4,1,1,5,2,5,2007,128500
0,0,12,2,1960,1,1,1,0,1,0,5,2010,215000
0,4,22,5,1987,2,2,2,0,1,1,6,2006,239000
0,4,12,2,1961,0,4,1,1,1,2,6,2008,163000
0,4,23,2,1986,0,4,2,0,1,0,11,2008,184000
3,0,7,2,2001,0,4,2,0,1,2,6,2007,243000
0,0,4,5,1989,2,4,2,1,1,2,9,2007,211000
3,4,19,0,1958,0,0,2,0,1,2,7,2006,172500
0,1,22,2,2009,2,0,2,0,1,0,7,2009,501837
3,4,17,2,2006,5,4,1,0,5,2,7,2007,100000
3,4,21,5,2000,2,0,2,1,5,2,6,2007,177000
3,4,6,5,1950,3,2,1,1,5,2,7,2006,200100
3,4,7,2,2006,5,0,1,0,1,1,6,2007,120000
3,4,17,0,2003,5,0,2,1,5,2,6,2008,200000
0,4,3,0,1991,5,2,1,0,1,2,6,2006,127000
1,4,17,3,1993,5,0,2,1,5,2,6,2006,475000
0,1,11,7,1991,2,0,2,0,1,2,6,2009,173000
3,4,17,0,1987,5,0,2,1,5,2,8,2009,135000
3,4,20,6,1979,2,4,0,2,5,2,6,2009,153337
3,4,22,2,2002,2,0,1,1,1,0,8,2008,286000
3,4,6,5,1994,4,4,2,1,5,2,12,2007,315000
0,1,12,5,2004,0,2,1,1,1,0,6,2007,184000
0,4,5,2,1999,2,0,2,0,1,0,9,2009,192000
3,4,7,5,2004,5,0,2,0,5,2,5,2006,130000
0,4,5,2,1972,0,4,1,0,5,2,5,2008,127000
3,2,13,5,1976,0,4,2,1,1,2,7,2009,148500
3,4,21,2,2007,2,0,2,0,1,0,9,2007,311872
3,0,12,5,1990,2,2,2,0,5,2,3,2006,235000
3,0,17,3,1950,5,0,1,0,1,2,7,2009,104000
3,4,16,2,2005,2,0,2,0,1,0,1,2009,274900
3,0,7,2,2004,5,0,2,0,1,1,3,2010,140000
3,4,11,2,1977,0,4,2,0,5,2,2,2008,171500
3,0,17,0,1950,3,2,2,0,1,2,5,2006,112000
3,4,5,2,2004,2,0,1,0,1,1,1,2008,149000
3,4,17,0,1950,3,4,1,1,5,2,4,2009,110000
3,0,8,2,1990,5,0,2,0,1,1,5,2009,180500
0,1,19,2,1962,5,4,1,1,1,1,3,2007,143900
0,4,12,2,1960,0,4,1,0,1,1,4,2008,141000
0,4,20,5,1989,2,0,2,1,1,0,4,2007,277000
3,4,12,2,1964,4,0,1,0,1,1,7,2008,145000
3,4,7,2,1950,4,4,1,0,1,2,4,2008,98000
3,0,7,2,2009,2,0,2,0,1,1,3,2010,186000
3,4,21,5,2009,2,0,2,1,1,1,7,2009,252678
1,1,5,2,1995,0,0,1,0,1,2,7,2006,156000
0,2,5,5,1977,2,0,1,1,1,0,3,2010,161750
0,4,12,2,1996,1,4,1,0,1,2,5,2006,134450
3,4,5,2,2004,2,0,2,0,1,2,4,2008,210000
3,4,17,5,1950,5,1,1,0,5,2,9,2006,107000
0,0,6,0,2006,1,0,1,1,1,2,5,2008,311500
3,4,0,2,2006,2,0,2,0,1,0,3,2006,167240
0,4,5,2,2006,5,0,2,0,1,1,4,2006,204900
0,4,8,5,2002,5,0,2,1,3,1,12,2009,200000
3,4,14,5,1975,0,4,2,1,1,1,2,2006,179900
3,2,12,2,1971,0,2,1,0,5,2,3,2009,97000
3,4,16,2,2003,2,0,2,0,1,0,6,2009,386250
3,4,2,5,1971,5,4,2,1,5,2,5,2009,112000
0,4,15,5,1995,2,0,2,1,1,1,6,2007,290000
3,4,2,5,1970,4,4,1,1,5,2,9,2008,106000
3,2,19,2,1967,0,4,1,0,5,2,5,2010,125000
3,4,0,2,2006,2,0,2,0,1,0,5,2009,192500
3,4,12,2,1959,5,4,1,0,1,1,4,2010,148000
0,4,15,5,1996,2,0,2,1,1,0,7,2009,403000
3,4,2,5,1972,5,4,1,1,1,2,6,2006,94500
3,0,5,2,1976,3,4,1,0,1,2,2,2010,128200
3,4,8,5,2002,2,0,2,1,3,0,5,2010,216500
3,4,2,5,1971,0,4,1,1,5,2,8,2008,89500
3,2,5,2,2004,2,0,2,0,1,1,5,2010,185500
0,1,20,5,2003,1,0,2,1,1,1,2,2010,194500
3,4,16,2,2007,5,0,2,0,1,0,12,2007,318000
3,4,7,0,1950,3,4,1,1,5,2,4,2010,113000
3,4,21,2,2008,2,0,2,0,1,1,4,2010,262500
3,4,17,2,1997,0,2,1,0,1,2,8,2007,110500
3,0,17,0,1950,5,2,1,0,1,2,4,2006,79000
3,0,20,5,1980,5,4,1,1,1,1,4,2009,120000
0,4,20,5,2002,2,0,2,1,1,1,5,2010,205000
3,4,14,2,1988,2,2,2,0,1,0,6,2006,241500
3,4,17,5,1950,5,2,2,0,5,2,4,2006,137000
3,4,12,2,1954,5,0,1,0,1,2,6,2006,140000
3,4,5,5,2003,5,0,2,1,1,1,9,2007,180000
1,1,4,0,2006,4,2,2,0,1,0,6,2007,277000
0,4,3,2,1966,5,0,1,0,1,2,5,2010,76500
0,4,6,2,2007,2,0,2,0,1,0,12,2007,235000
0,4,20,5,2004,5,0,2,1,1,1,12,2008,173000
3,4,12,7,1991,3,0,2,0,1,1,10,2007,158000
3,4,12,2,1957,4,4,1,0,1,1,6,2010,145000
0,4,8,5,1999,5,0,2,1,3,0,2,2006,230000
0,4,21,5,2003,4,0,2,1,1,1,5,2008,207500
3,4,5,2,2006,2,0,2,1,1,1,3,2009,220000
3,4,5,5,2001,2,0,2,1,1,1,5,2008,231500
3,4,17,2,1956,5,2,1,0,5,2,12,2008,97000
3,0,12,7,1962,4,4,1,0,1,2,5,2009,176000
0,4,5,5,2007,5,0,2,1,3,0,11,2007,276000
0,0,19,7,1995,0,4,1,0,1,2,7,2006,151000
3,0,17,0,2001,3,4,1,0,5,2,4,2010,130000
2,4,17,2,2004,5,2,1,0,5,2,6,2008,73000
0,4,14,2,1981,2,4,2,0,1,0,6,2008,175500
0,2,8,5,1997,2,2,2,1,1,0,6,2006,185000
3,4,18,3,1997,3,0,2,1,5,2,7,2008,179500
3,4,9,2,1955,0,0,1,0,5,0,2,2008,120500
0,0,7,2,1976,1,4,1,1,1,1,5,2007,148000
3,4,21,5,2006,5,2,2,1,1,1,8,2006,266000
0,1,4,2,2005,3,0,1,0,1,2,4,2008,241500
0,1,15,5,2007,2,0,2,1,1,0,4,2010,290000
3,4,12,2,1988,4,2,2,0,1,1,4,2009,139000
3,0,11,2,1982,0,4,1,0,1,2,6,2007,124500
3,4,3,0,2007,5,2,2,1,5,2,10,2009,205000
0,4,11,2,2003,5,0,2,0,1,0,4,2010,201000
3,0,8,2,1951,3,0,1,0,5,2,6,2010,141000
3,4,16,2,2007,5,0,2,1,1,0,5,2007,415298
3,4,4,5,1977,1,0,2,1,1,0,3,2008,192000
3,4,20,5,1989,2,2,2,1,1,0,1,2007,228500
3,4,21,2,2006,2,2,2,0,1,0,5,2006,185000
3,4,16,2,2008,2,0,2,0,1,1,4,2009,207500
3,4,21,2,2009,5,0,2,0,1,0,12,2009,244600
3,4,20,2,1992,2,2,2,0,1,1,7,2007,179200
0,4,21,5,2007,5,0,2,1,5,1,6,2007,164700
0,4,12,0,1981,4,4,1,1,1,1,6,2006,159000
0,0,12,2,1971,1,4,1,0,1,2,6,2006,88000
0,4,19,2,1967,1,4,1,0,5,2,2,2010,122000
3,4,3,5,2003,5,0,1,0,5,2,7,2007,153575
3,4,5,5,2006,5,0,2,1,1,1,7,2006,233230
3,4,18,5,2000,4,0,2,0,1,2,3,2008,135900
3,4,7,0,2008,3,2,1,1,1,2,1,2009,131000
0,0,14,5,1994,0,1,2,1,1,0,3,2006,235000
3,4,12,2,1953,2,4,1,0,1,0,10,2009,167000
0,1,11,7,1984,2,4,1,0,5,2,3,2006,142500
3,4,9,0,1950,1,4,1,1,1,2,6,2007,152000
0,4,21,5,1998,1,0,2,1,5,1,6,2007,239000
3,4,14,5,1968,0,2,1,2,1,2,6,2007,175000
3,4,6,2,2004,5,0,1,0,1,2,8,2009,158500
3,0,6,2,1953,1,4,1,0,1,2,6,2006,157000
2,4,5,5,1999,2,0,2,1,3,0,5,2007,267000
0,0,5,2,2002,5,0,2,0,1,1,1,2006,205000
3,0,5,2,1972,0,4,1,0,1,2,7,2006,149900
3,4,17,3,2002,5,0,3,0,1,2,5,2008,295000
3,4,5,2,2005,2,0,2,0,1,0,7,2007,305900
3,4,20,5,1991,0,2,2,1,1,1,6,2007,225000
0,4,9,0,1950,5,4,1,0,1,2,3,2008,89500
0,4,7,2,1950,1,0,1,0,5,2,3,2009,82500
0,4,16,2,2004,2,0,2,0,1,0,11,2006,360000
0,4,8,5,1994,0,2,2,1,1,0,5,2006,165600
3,4,12,2,2002,0,0,1,0,5,2,5,2009,132000
3,4,17,0,1950,4,4,1,0,5,2,5,2006,119900
2,4,23,2,1965,0,4,2,0,1,1,6,2009,375000
3,4,17,5,1990,3,0,1,1,5,2,8,2006,178000
0,4,8,5,2005,2,0,2,1,1,0,7,2009,188500
0,0,14,5,1980,2,4,2,1,1,1,8,2009,260000
3,4,21,5,2006,5,0,2,1,1,1,12,2007,270000
3,4,15,5,1993,2,0,2,1,1,1,4,2009,260000
3,4,14,7,1980,2,4,2,0,1,2,6,2009,187500
3,0,16,5,2006,5,0,3,1,1,1,9,2006,342643
0,4,16,5,2004,2,0,2,1,3,0,6,2007,354000
0,4,20,5,1987,3,0,2,1,1,0,8,2007,301000
3,4,17,2,2005,0,0,1,0,1,2,7,2006,126175
3,0,12,7,2007,5,0,2,1,3,0,6,2010,242000
3,4,9,1,1950,1,3,1,0,5,2,12,2007,87000
0,1,24,2,1993,2,0,1,1,1,0,5,2008,324000
3,4,12,2,1960,4,4,1,1,1,1,4,2006,145250
0,4,3,4,1994,5,2,2,0,5,2,7,2009,214500
3,0,9,5,1950,5,4,1,0,5,2,7,2009,78000
0,4,12,2,1964,2,4,2,0,5,2,11,2007,119000
3,4,12,2,1992,4,1,1,0,1,1,8,2007,139000
0,4,16,2,2004,2,0,2,0,1,1,10,2009,284000
3,3,16,2,2004,2,0,2,0,1,1,7,2008,207000
0,4,8,5,1998,2,2,2,1,1,0,7,2008,192000
0,0,23,0,1965,0,0,2,0,1,0,8,2008,228950
0,0,22,2,2006,2,0,2,0,1,0,7,2007,377426
3,4,5,2,2003,2,0,2,0,1,1,12,2008,214000
3,0,14,2,1998,0,0,2,0,1,1,5,2006,202500
0,4,12,2,1998,4,4,1,0,1,2,6,2009,155000
3,4,23,5,2002,5,0,2,1,1,0,4,2010,202900
3,4,20,2,1950,5,2,1,0,4,2,9,2009,82000
3,4,12,2,1950,5,1,2,0,5,2,5,2006,87500
0,4,16,2,2005,2,0,2,0,1,1,7,2008,266000
3,4,10,5,1976,4,4,1,1,1,2,4,2010,85000
3,4,3,0,1950,5,2,1,0,5,2,10,2006,140200
0,1,12,2,1998,1,4,1,0,1,1,4,2007,151500
0,4,12,2,1960,1,0,2,0,1,2,12,2009,157500
3,4,16,5,2004,2,0,2,1,3,1,10,2008,154000
1,4,16,5,2006,2,0,2,1,1,0,4,2006,437154
0,4,16,2,2007,5,0,2,0,1,1,12,2007,318061
0,4,4,2,1986,2,2,1,1,1,1,12,2006,190000
3,4,7,0,1950,3,4,1,0,5,2,3,2008,95000
3,4,17,2,2003,5,2,1,0,5,2,5,2010,105900
3,4,18,0,2000,3,0,1,0,1,2,6,2006,140000
1,4,5,2,1995,0,0,2,0,1,1,8,2007,177500
0,4,8,2,1992,2,2,2,0,1,1,7,2009,173000
3,4,10,2,1976,0,4,1,1,1,0,8,2007,134000
0,4,4,7,1958,1,0,1,0,3,2,7,2006,130000
0,1,15,5,1998,2,0,2,1,1,1,6,2006,280000
0,1,11,6,1978,2,0,1,0,1,1,6,2007,156000
3,4,3,0,1982,4,2,1,0,5,2,7,2008,145000
